c16410	CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1
c16219	COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
c16841	CN(C)CCCN1c2ccccc2CCc2ccccc21
c17023	COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C
c17186	COc1ccc2cc(CCC(C)=O)ccc2c1
c19621	C[N+]1(C)[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21
c17384	CCC1(CC)C(=O)NC(=O)N(C)C1=O
c16865	O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
c16942	C=C(C)[C@@H]1C2OC(=O)C1[C@]1(O)CC3O[C@]34C(=O)O[C@H]2[C@@]41C.CC(C)(O)[C@@H]1C2OC(=O)C1[C@]1(O)C[C@H]3O[C@]34C(=O)O[C@H]2[C@@]41C
c16677	CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21
c17394	C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
c17017	CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O
c16428	CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21
c16226	CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1
c17587	CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
c16943	C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O
c19623	CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
c16718	CNCC[C@H](Oc1cccc2ccccc12)c1cccs1
c16275	CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
c16280	NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O
